"MARCA_VEHICULO","MODELO_VEHICULO","TIPO_VEHICULO","EDAD_VEHICULO","FECHA_ACCIDENTE","GRAVEDAD_ACCIDENTE","DEPARTAMENTO_ACCIDENTE","MUNICIPIO_ACCIDENTE","AUTORIDAD_DE_TRANSITO"
"MAZDA","2017","AUTOMOVIL","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2023","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2006","CAMPERO","19","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2010","AUTOMOVIL","15","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2021","AUTOMOVIL","5","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2014","AUTOMOVIL","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2014","AUTOMOVIL","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2005","AUTOMOVIL","21","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"FOTON","2018","CAMIONETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"FORD","2017","CAMIONETA","9","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2023","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2016","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2025","CAMIONETA","1","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2018","MOTOCICLETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2015","AUTOMOVIL","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2020","AUTOMOVIL","6","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2022","AUTOMOVIL","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","1998","AUTOMOVIL","26","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2023","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2011","AUTOMOVIL","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2021","AUTOMOVIL","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2013","CAMIONETA","12","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"KIA","2017","AUTOMOVIL","9","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HYUNDAI","2019","AUTOMOVIL","6","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VICTORY","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"KIA","2012","AUTOMOVIL","14","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VICTORY","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HYUNDAI","2015","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"COMBAT","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HERO","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
